xml_id	label_true	label_pred	label_raw	corpus_id	modality	text_snippet
doc_177595	right	left	fdesouche_com	web1	web	Goodyear : Quand Hollande, candidat, promettait une loi En visite à l’usine Goodyear d’Amiens, en octobre 2011, François Hollande promettait une loi pour empêcher les licenciements boursiers. Le moment a été immortalisé dans une vidéo amateur. La scène se déroule le 14 octobre 2011, à l’usine Goodye
doc_429001	left	right	grecehebdo_gr	web1	web	"Poésie: Constantin Cavafy, ""En attendant les barbares"" - Grèce Hebdo Pourquoi cette léthargie, au Sénat? Pourquoi les sénateurs restent-ils sans légiférer? Parce que les Barbares seront là aujourd’hui. À quoi bon faire des lois à présent? Ce sont les Barbares qui bientôt les feront. Pourquoi notre e"
doc_093771	right	left	alexandrelatsa_ru	web1	web	Référendums en Ukraine : quelles conséquences territoriales et démographiques ? Jusqu’au 27 septembre se déroulent les 4 référendums des 4 Oblasts de Lugansk, Donetsk, Zaporojie et Kherson. En Rose la partie de ces Oblasts sous contrôle de Moscou, en jaune la partie sous contrôle de Kiev. Sur le pla
doc_239258	right	left	fdesouche_com	web1	web	"""La Seine-Saint-Denis, dont le PIB atteint près de 2,5 % du PIB national, est classée au deuxième rang des départements les plus riches de France"" Lieu ancien d’implantation industrielle, la Seine-Saint-Denis bénéficie encore aujourd’hui d’une attractivité économique réelle, tirée par la présence de"
doc_011378	left	right	cihablog_com	web1	web	Home - CIHA Blog Critical Investigations into Humanitarianism in Africa (CIHA) was honored to organize a Global Africa Junior Researchers’ Institute (JRI) at the Institute of African Studies, […] Copyright © 2018 CIHA BLOG
doc_229394	right	left	fdesouche_com	web1	web	5 mai 1821 : Mort de Napoléon Bonaparte Napoléon à Sainte-Hélène, Francois-Joseph Sandmann. Napoléon par lui-même : « Après tout, ils auront beau retrancher, supprimer, mutiler, il leur sera bien difficile de me faire disparaître tout à fait. Un historien français sera pourtant bien obligé d’aborder
doc_353874	left	right	worldbank_org	web1	web	Arnaque en costume trois pièces Au tribunal correctionnel de Pontoise se déroule le procès de l’arnaque aux sièges Marie-Antoinette, pratiquée entre autres par un spécialiste du mobilier français du 18e siècle surnommé « le Père Lachaise » dans le milieu. Ce grand spécialiste s’était acoquiné avec u
doc_118100	right	left	fdesouche_com	web1	web	Au Japon, la zone morte autour de Fukushima Trois ans après la catastrophe nucléaire de Fukushima, l’avenir reste sombre pour les habitants de la région. Leur situation est différente selon qu’ils vivaient dans une zone située à moins de 30 kilomètres des réacteurs – auquel cas l’accès en est totale
doc_184486	right	left	fdesouche_com	web1	web	87% des enfants ne connaissent pas les betteraves, les courgettes ni les poireaux Près de 87% des enfants ignorent ce qu’est une betterave, révèle une enquête publiée jeudi, une méconnaissance qui favorise les mauvaises pratiques alimentaires à l’origine du surpoids d’un écolier sur cinq. Réalisée d
doc_463702	left	right	arkema_com	web1	web	- Chiffres clés | Arkema Global (1) Les données mentionnées dans ce tableau excluent pour le compte de résultat 2012, 2011 et 2010 et pour le bilan 2012 et 2011 les données financières relatives aux activités vinyliques qui faisaient l’objet d’un projet de cession en cours à la clôture de l’exercice
doc_107069	right	left	padawan_info	web1	web	"Page Not Found (AKA ""the damn 404 error"") Page Not Found (AKA ""the damn 404 error"") I felt a great disturbance in the Force, as if millions of pages suddenly cried out in 404 error... And unfortunately this one page appears to be among them. You may want to try a search or send me an email if your l"
doc_342729	left	right	leslibraires_fr	web1	web	Cahier de tendances - Vivre en coopération Comment remettre l'humain au cœur de nos sociétés en transition ? Par la coopération ! Présente déjà dans tous les aspects du quotidien via une toile coopérative au cœur des territoires, elle incarne et expérimente une autre façon de faire société et d'envi
doc_133817	right	left	fdesouche_com	web1	web	Romorantin (41) : le Samu responsable de la mort d'Amaury, 13 ans ? La justice ouvre une enquête Suite à l’affaire Naomi, une famille décide de prendre la parole : celle d’Amaury Boyer, un garçon de 13 ans décédé en 2014 des suites d’une tumeur cérébrale. Convaincue que leur fils est mort à cause d’
doc_373485	left	right	worldbank_org	web1	web	Le Versailles du luxe Lundi 3 novembre, le château de Versailles était fermé au public et réservé aux invités du comité Colbert, représentant les entreprises du secteur du luxe. Celui-ci fêtait son 60e anniversaire et le champagne coulait à flot. Autour des tables se pressaient les invités des plus 
doc_109300	right	left	ffmc67_fr	web1	web	Accueil Actualités - Manifestation du 27 septembreRetour sur la Manifestation nationale contre les ZFE le 27 septembre « Liberté, égalité, mobilité pour tous ! » Départ du cortège à Entzheim, tour de l’Eurométropole, arrêt sur… Lire la suite »Manifestation du 27 septembre - Action Partage de la rout
doc_349947	left	right	lafranceinsoumise_fr	web1	web	Formation des jeunes : les décrocheurs sont les principales victimes des mesures austéritaires Audition en commission Culture/Education sur le rapport au gouvernement concernant l’obligation de formation des jeunes de 16-18 ans. « Dans un premier temps, je tiens à vous remercier pour la qualité de v
doc_150027	right	left	fdesouche_com	web1	web	"François Kersaudy : ""L'immigration a provoqué chômage, déracinement, haine de la France, déscolarisation"" Pendant que l’on amuse le peuple de débats oiseux, l’état recule. De renoncement en renoncement, la libanisation de notre pays semble inexorable. Il suffit de suivre l’enchaînement et l’imbricat"
doc_465461	left	right	kingston_ac_uk	web1	web	Pour le drapeau rouge (26 Février 1848) Nous ne sommes plus en 93 !1 Nous sommes en 1848 ! Le drapeau tricolore n’est pas le drapeau de la République ; il est celui de Louis-Philippe et de la monarchie. C’est le drapeau tricolore qui présidait aux massacres de la rue Transnonain, du faubourg de Vais
doc_194609	right	left	fdesouche_com	web1	web	L'armée française s'équipe de mini-drones hélicoptères Black Hornet 3 Nom de code : Black Hornet 3. Ce petit drone norvégien du fabricant Prox Dynamics (filiale du groupe américain Flir) prend la forme d’un hélicoptère de 16 cm de longueur et pèse seulement 33 g. Cela ne l’empêcherait pas de voler j
doc_109510	right	left	bnp_org_uk	web1	web	The British National Party (BNP) In the last 3 days 1,243 undocumented fighting aged men have arrived illegally to the […] News The Debate Over Banning Ritual Slaughter in Britain Balancing Animal Welfare and Religious Freedom […] Heightened Security at Military Bases in Colchester Following Threats
