xml_id	y_true	y_pred	corpus_id	modality	text_snippet
doc_248422	right	left	web1	web	France : Samy Debah dénonce une «société sclérosée d’apartheid» et «l’explosion de l’islamophobie» Le Comité de lutte contre l’Islamophobie en France (CCIF) est né dans le contexte des discussions sur l’interdiction du hijab dans les écoles
doc_209887	right	left	web1	web	Dijon (21) : rassemblement contre l'expulsion de lycéens Rassemblement à l’appel du “Collectif de soutien aux demandeurs d’asile et migrants”. Solidaires avec les lycéen-n-e-s menacé-e-s d’expulsion ! Après des années d’études, souvent rema
doc_128878	right	left	web1	web	La ministre des solidarités prête à « discuter » de toutes les aides sociales Agnès Buzyn affirme au « Journal du dimanche » qu’elle compte s’interroger sur l’efficacité de tous les dispositifs, sans toucher à ceux destinés aux « plus pauvr
doc_282787	right	left	web1	web	Chez Carrefour, le Coran est à côté de la poubelle Pendant le mois de ramadan, Carrefour commercialise des exemplaires du Coran, sans égards ni précaution. Depuis que les éditions Al-Bouraq ont conclu un partenariat avec Carrefour, chaque a
doc_345416	left	right	web1	web	Audition de M. Schrameck, président du CSA Dans le cadre de la commission Culture, Michel LARIVE pose une question au président du CSA, M. Schrameck sur son rapport d’activité 2017 : « Dernièrement, une proposition de loi organique et une p
doc_244978	right	left	web1	web	Bastien Lachaud - Député LFI - rend hommage à Trotski pour le 80ème anniversaire de sa mort Léon Trotski, de son vrai nom Lev Davidovitch Bronstein, né le 26 octobre 1879 à Ianovka (alors dans l’Empire russe, aujourd’hui en Ukraine). En 191
doc_212265	right	left	web1	web	VIe République de Mélenchon : «Elle suppose ni plus ni moins un coup d’Etat» Pour Serge Sur, professeur émérite de droit public, la VIe République souhaitée par Jean-Luc Mélenchon déboucherait débouche sur “un régime d’Assemblée, voué à l’i
doc_129159	right	left	web1	web	Réhabilitation judiciaire et interdiction définitive du territoire français : le mariage de la carpe et du lapin La demande de réhabilitation d’une condamnation à une peine qui, par sa définition même, n’a pas fini d’être exécutée est irrec
doc_031869	right	left	web1	web	forum-lyon-liberation - Forum lyon liberation Pour une planète plus verte Le Forum Lyon Liberation encourage et facilite le dialogue sur les enjeux environnementaux touchant la communauté lyonnaise. Agir localement, penser globalement Nous 
doc_370103	left	right	web1	web	Identité nationale : Un guide qui ne vaut pas le détour Besson a sorti un petit guide pour la conduite des débats locaux sur l'identité nationale. Si c'est une aide pour les préfets et leurs services qui en seront chargés, on ne peut pas di
doc_343791	left	right	web1	web	Article ajouté ! Plus tard, elle veut « construire une maison pour héberger les gens qui n'ont pas de chance et leurs enfants ». Et puis un jour de Juin 2010, sa vie - et la nôtre - basculent : suite à un léger strabisme, Eva est diagnostiq
doc_351035	left	right	web1	web	Amendement de suppression de l’article 1er sur la transformation du passe sanitaire en passe vaccinal J’ai défendu un amendement de suppression de l’article 1er qui transforme notamment le passe sanitaire en passe vaccinal pour l’ accès aux
doc_031843	right	left	web1	web	Mairie d'Arcangues | Site officiel de la ville d'Arcangues Le marché d'Arcangues se tient tous les mercredis matins, de 9h à 13h, sur le parking du bourg du village. Vous pouvez y retrouver toute l'année: un poissonnier, un rôtisseur, Tous 
doc_139458	right	left	web1	web	Sarkozy, esclavage : Appel aux vidéomaniaques Proposition : faire un montage mettant en parallèle les récentes déclarations de Sarkozy sur l’esclavage, le “poids sur les consciences” etc… et ses déclarations de campagne sur la “fin de la re
doc_107455	right	left	web1	web	Offensive contre Taddéi Offensive contre Taddéi Après Patrick Cohen, c'est au tour de Cyril Hanouna, sur D8, de faire le procès de Taddéi : une épuration serait-elle en préparation ? Après Patrick Cohen, c'est au tour de Cyril Hanouna, sur 
doc_233502	right	left	web1	web	Corbeil-Essonnes (91) : le maire DVG Bruno Piriou va distribuer 1 000 drapeaux palestiniens aux habitants Le maire divers gauche de Corbeil-Essonnes, Bruno Piriou, a annoncé à Libération qu’il distribuera 1 000 drapeaux palestiniens aux hab
doc_182152	right	left	web1	web	Rééquilibrage des comptes sociaux? CMU-C, AME et ACS : revalorisation exceptionnelle du plafond de ressources Un décret du 17 juin 2013 revalorise les plafonds de ressources prises en compte pour l’attribution des dispositifs suivants à par
doc_191043	right	left	web1	web	Pourquoi les immigrés et leurs descendants votent-ils pour la droite dure israélienne ? Les immigrés originaires d’Asie et d’Afrique tournent le dos aux partis de la gauche qui ont [pourtant] oeuvré à leur installation. Benjamin Nétanyahou 
doc_030153	left	right	web1	web	Transcription - Les éditions Héros-Limite Transcription Œuvre maîtresse de la littérature de langue allemande, transcription (en allemand nachschrift, paru en deux tomes en 1986 et 1997) est pour la première fois traduite en français. Elle 
doc_016127	left	right	web1	web	Repères : actualités politiques, procédures et gestion budgétaires Conformément aux engagements pris à l’échelle de l’Union européenne, la France vient de rendre public son rapport d’avancement annuel sur le plan budgétaire et structurel de
doc_346759	left	right	web1	web	Total : des licenciements verts ? C’est nouveau : Total vire écolo ! Enfin, juste assez pour reverdir son plan social, une « plateforme sans pétrole » promouvant les « agrocarburants ». Mais là, extra : à la place de tomber dans le piège, G
doc_194650	right	left	web1	web	Quand un député mis en examen pour violences enquête sur... les violences d'extrême-droite (MàJ) 28/01/18 On pouvait s’attendre à tout, sauf à cela. M’Jid El Guerrab, député des Français de l’étranger, ancien membre du PS, élu en 2017 comme
doc_431293	left	right	web1	web	Une majorité de Français pour un référendum sur l'avenir de La Poste BORDEAUX, 3 oct 2009 (AFP) - Une large majorité de Français (59%) souhaite que le gouvernement organise un référendum sur le changement de statut et l'avenir de La Poste, 
doc_159462	right	left	web1	web	Métiers d'art : ébénistes, tailleurs de pierre, céramistes... les savoir-faire français dopent l’économie et les exportations. 68 milliards d'euros de chiffre d'affaires, dont 9 milliards à l'exportation Les métiers d’art et savoir-faire d’
doc_092500	right	left	web1	web	Page not found Something has gone wrong... It seems you clicked on a bad link and have landed on our 404 page What happened? - The story, page, or video you were trying to get to might have been moved - It's possible there was a typo in the
doc_108519	right	left	web1	web	Conférence / Débat avec Pierre de Brague Conférence / Débat avec Pierre de Brague « Georges Sorel – La rupture avec le monde bourgeois. » Conférence organisée le 13 février dernier avec Pierre de Brague, venu présenter le livre dont il a éc
doc_183037	right	left	web1	web	Goldman Sachs et la main visible A l’heure où Goldman Sachs publie des bénéfices en hausse de 191% sur 2012, il est intéressant de se pencher sur la nature et le contexte de ces profits records. Pour une bonne part, ils sont dus au leadersh
doc_512728	left	right	web1	web	Sécurité et traque-affût : le nouveau mode de chasse innovant Sécurité et traque-affût : le nouveau mode de chasse innovant Un mode de chasse qui vise à renforcer la sécurité Aujourd’hui, en France, la chasse des grands animaux se pratique,
