xml_id	true	pred	corpus_id	modality	text_snippet
doc_177595	right	left	web1	web	Goodyear : Quand Hollande, candidat, promettait une loi En visite à l’usine Goodyear d’Amiens, en octobre 2011, François Hollande promettait une loi pour empêcher les licenciements boursiers. Le moment a été immortalisé dans une vidéo amateur. La scène se déroule le 14 octobre 2011, à l’usine Goodye…
doc_098993	right	left	web1	web	Valls est-il le nouveau maquereau des Femen ? On peut se poser la question après la lamentable provocation de ces prostitués, ce dimanche matin à Paris. Juste après que le Renouveau français ait terminé son hommage devant la statue de Sainte Jeanne d’Arc et avant que d’autres ne prennent le relais, …
doc_273292	right	left	web1	web	La guerre du cerveau Voyage dans un territoire encore mystérieux… le cerveau. Pour tenter de percer ses secrets, l’Europe et les États-Unis ont récemment lancé deux programmes très ambitieux et concurrents. C’est officiel : la “guerre” scientifique du cerveau a commencé. De part et d’autre de l’Atla…
doc_429001	left	right	web1	web	"Poésie: Constantin Cavafy, ""En attendant les barbares"" - Grèce Hebdo Pourquoi cette léthargie, au Sénat? Pourquoi les sénateurs restent-ils sans légiférer? Parce que les Barbares seront là aujourd’hui. À quoi bon faire des lois à présent? Ce sont les Barbares qui bientôt les feront. Pourquoi notre e…"
doc_093771	right	left	web1	web	Référendums en Ukraine : quelles conséquences territoriales et démographiques ? Jusqu’au 27 septembre se déroulent les 4 référendums des 4 Oblasts de Lugansk, Donetsk, Zaporojie et Kherson. En Rose la partie de ces Oblasts sous contrôle de Moscou, en jaune la partie sous contrôle de Kiev. Sur le pla…
doc_239258	right	left	web1	web	"""La Seine-Saint-Denis, dont le PIB atteint près de 2,5 % du PIB national, est classée au deuxième rang des départements les plus riches de France"" Lieu ancien d’implantation industrielle, la Seine-Saint-Denis bénéficie encore aujourd’hui d’une attractivité économique réelle, tirée par la présence de…"
doc_011378	left	right	web1	web	Home - CIHA Blog Critical Investigations into Humanitarianism in Africa (CIHA) was honored to organize a Global Africa Junior Researchers’ Institute (JRI) at the Institute of African Studies, […] Copyright © 2018 CIHA BLOG
doc_150359	right	left	web1	web	Budget : 2 milliards d'euros à trouver Le gouvernement demande deux milliards d’économies. Les effectifs vont baisser. Particulièrement mises à contribution, l’écologie et la recherche. Un tour de vis dénoncé dans une tribune par sept prix Nobel français et un lauréat de la Médaille Fields. Ils ont …
doc_158753	right	left	web1	web	Pénurie de blouses blanches dans les hôpitaux français Alors que le manque de médecins dans les hôpitaux français était prévisible, les gouvernements successifs ont préféré privilégié une solution de facilité : faire venir des médecins formés à l’étranger. Une solution qui permettait de faire des éc…
doc_229394	right	left	web1	web	5 mai 1821 : Mort de Napoléon Bonaparte Napoléon à Sainte-Hélène, Francois-Joseph Sandmann. Napoléon par lui-même : « Après tout, ils auront beau retrancher, supprimer, mutiler, il leur sera bien difficile de me faire disparaître tout à fait. Un historien français sera pourtant bien obligé d’aborder…
doc_353874	left	right	web1	web	Arnaque en costume trois pièces Au tribunal correctionnel de Pontoise se déroule le procès de l’arnaque aux sièges Marie-Antoinette, pratiquée entre autres par un spécialiste du mobilier français du 18e siècle surnommé « le Père Lachaise » dans le milieu. Ce grand spécialiste s’était acoquiné avec u…
doc_118100	right	left	web1	web	Au Japon, la zone morte autour de Fukushima Trois ans après la catastrophe nucléaire de Fukushima, l’avenir reste sombre pour les habitants de la région. Leur situation est différente selon qu’ils vivaient dans une zone située à moins de 30 kilomètres des réacteurs – auquel cas l’accès en est totale…
doc_184486	right	left	web1	web	87% des enfants ne connaissent pas les betteraves, les courgettes ni les poireaux Près de 87% des enfants ignorent ce qu’est une betterave, révèle une enquête publiée jeudi, une méconnaissance qui favorise les mauvaises pratiques alimentaires à l’origine du surpoids d’un écolier sur cinq. Réalisée d…
doc_107069	right	left	web1	web	"Page Not Found (AKA ""the damn 404 error"") Page Not Found (AKA ""the damn 404 error"") I felt a great disturbance in the Force, as if millions of pages suddenly cried out in 404 error... And unfortunately this one page appears to be among them. You may want to try a search or send me an email if your l…"
doc_342729	left	right	web1	web	Cahier de tendances - Vivre en coopération Comment remettre l'humain au cœur de nos sociétés en transition ? Par la coopération ! Présente déjà dans tous les aspects du quotidien via une toile coopérative au cœur des territoires, elle incarne et expérimente une autre façon de faire société et d'envi…
doc_133817	right	left	web1	web	Romorantin (41) : le Samu responsable de la mort d'Amaury, 13 ans ? La justice ouvre une enquête Suite à l’affaire Naomi, une famille décide de prendre la parole : celle d’Amaury Boyer, un garçon de 13 ans décédé en 2014 des suites d’une tumeur cérébrale. Convaincue que leur fils est mort à cause d’…
doc_373485	left	right	web1	web	Le Versailles du luxe Lundi 3 novembre, le château de Versailles était fermé au public et réservé aux invités du comité Colbert, représentant les entreprises du secteur du luxe. Celui-ci fêtait son 60e anniversaire et le champagne coulait à flot. Autour des tables se pressaient les invités des plus …
doc_109300	right	left	web1	web	Accueil Actualités - Manifestation du 27 septembreRetour sur la Manifestation nationale contre les ZFE le 27 septembre « Liberté, égalité, mobilité pour tous ! » Départ du cortège à Entzheim, tour de l’Eurométropole, arrêt sur… Lire la suite »Manifestation du 27 septembre - Action Partage de la rout…
doc_326997	left	right	web1	web	Contactez-nous Contactez-nous Pour toutes les questions relatives à l’état-civil (acte de naissance/mariage/décès), contactez : etat-civil-nationalite.jerusalem-cslt@diplomatie.gouv.fr Pour toutes les questions consulaires et notamment les demandes de passeports et de CNIS , contactez : admin-franca…
doc_150027	right	left	web1	web	"François Kersaudy : ""L'immigration a provoqué chômage, déracinement, haine de la France, déscolarisation"" Pendant que l’on amuse le peuple de débats oiseux, l’état recule. De renoncement en renoncement, la libanisation de notre pays semble inexorable. Il suffit de suivre l’enchaînement et l’imbricat…"
doc_465461	left	right	web1	web	Pour le drapeau rouge (26 Février 1848) Nous ne sommes plus en 93 !1 Nous sommes en 1848 ! Le drapeau tricolore n’est pas le drapeau de la République ; il est celui de Louis-Philippe et de la monarchie. C’est le drapeau tricolore qui présidait aux massacres de la rue Transnonain, du faubourg de Vais…
doc_194609	right	left	web1	web	L'armée française s'équipe de mini-drones hélicoptères Black Hornet 3 Nom de code : Black Hornet 3. Ce petit drone norvégien du fabricant Prox Dynamics (filiale du groupe américain Flir) prend la forme d’un hélicoptère de 16 cm de longueur et pèse seulement 33 g. Cela ne l’empêcherait pas de voler j…
doc_109510	right	left	web1	web	The British National Party (BNP) In the last 3 days 1,243 undocumented fighting aged men have arrived illegally to the […] News The Debate Over Banning Ritual Slaughter in Britain Balancing Animal Welfare and Religious Freedom […] Heightened Security at Military Bases in Colchester Following Threats…
doc_272589	right	left	web1	web	La religion du Progrès 23 novembre 2013. Dans le temple du Cnit (Centre des nouvelles industries et technologies), le Parti socialiste réunit quelques dizaines de dévots pour réactiver la foi dans le progrès face aux idéologies du déclin. Voici une petite sélection des lieux communs déversés par ces…
doc_347720	left	right	web1	web	Langue des Signes Française : quand l’Etat délaisse 4 millions de personne Le député Loïc Prud’homme interpellait le mardi 28 mai dans l’hémicycle la secrétaire d’Etat, Mme Cluzel, sur les carences de l’Etat pour l’insertion des citoyen.ne.s sourd.e.s et malentendant.e.s. Accès aux services publics …
doc_370103	left	right	web1	web	Identité nationale : Un guide qui ne vaut pas le détour Besson a sorti un petit guide pour la conduite des débats locaux sur l'identité nationale. Si c'est une aide pour les préfets et leurs services qui en seront chargés, on ne peut pas dire que le ministre ait une haute idée de leurs capacités int…
doc_091266	right	left	web1	web	Comprendre les énergies « fossiles » - Kontre Kulture » Charbon, pétrole, gaz naturel forment les énergies dites « fossiles » en référence à leur formation sur des millions d’années par transformation de matière organique. Au coeur des bouleversements apportés par les révolutions industrielles, elle…
doc_253052	right	left	web1	web	Retraites : un hold-up d'État Le gouvernement s’apprête à réaliser un casse sur les retraites des 20 millions de salariés du privé dans la plus grande discrétion. Il profite du changement de statut de La Poste pour remplir les caisses de l’Ircantec, régime de retraite bénéficiant aux élus et fonctio…
doc_125896	right	left	web1	web	Daniel Cohn-Bendit : « La taxation écologique est juste... Je vais faire campagne pour En marche ! » L’ancien député européen salue le virage écologique d’Emmanuel Macron et réaffirme sa conviction que les pollueurs doivent payer. Quels qu’ils soient. Invité de l’interview politique du samedi, l’icô…
doc_194009	right	left	web1	web	Le Conseil de l'Europe s'inquiète de la répression des manifestations de gilets jaunes Le gouvernement français est à nouveau pointé pour la répression du mouvement des gilets jaunes et, cette fois, l’avertissement vient du Conseil de l’Europe, chargé de promouvoir les droits de l’homme dans ses 47 …
doc_434301	left	right	web1	web	"populisme populisme Mercredi 6 septembre 2017 Société""Non, le peuple n’est pas une masse brutale et ignorante"" (Libération du 03/01) «Il ne se passe pas de jour où l’on n’entende dénoncer les risques du populisme. Il n’est pas pour autant facile de saisir ce que le mot désigne. Qu’est-ce qu’un popul…"
doc_509367	left	right	web1	web	Mission XY De quoi parle-t-on ? - l’anatomie masculine - les changements du corps à la puberté - la conception d’un enfant et la grossesse - la mission amour et vie. Mission XY Mission XY Mission XY Mission XY Mission XY Mission XY Mission XY Mission XY Mission XY Mission XY des garçons de 11 à 14 a…
doc_394435	left	right	web1	web	Un Vert dans le fromage Depuis qu’a été rendu public le patrimoine des ministres, le vert de l’écologiste Nicolas Hulot a tendance à pâlir. On se souvient qu’à l’époque où il était animateur télé Hulot partait à la rencontre de la nature en hélicoptère. À présent, le multimillionnaire possède pas mo…
doc_217885	right	left	web1	web	Japon : Les évacués de Fukushima toujours pas dédommagés La plupart des personnes évacuées des environs de la centrale de Fukushima attendent toujours les indemnités promises par la compagnie Tepco, laquelle a été contrainte d’alléger des formulaires d’une complexité sans nom. “Psychologiquement, je…
doc_249498	right	left	web1	web	Sexus Economicus C’est le dernier tabou des affaires : rares sont les grands contrats qui se concluent sans d’agréables « à côtés » pour les décideurs et les intermédiaires. Certains salons professionnels, voyages d’études et séminaires sont l’occasion de cadeaux d’affaires personnalisés. Et nombreu…
doc_189949	right	left	web1	web	La Nuit de la Chouette (13ème édition) La Nuit de la Chouette, ça commence ce week-end ! Vous vous posez de nombreuses questions sur les rapaces nocturnes, ces hôtes des bois aussi attachants que fragiles : Comment distingue-t-on la chouette du hibou ? Qu’y a-t-il dans les mystérieuses pelotes de ré…
doc_516251	left	right	web1	web	Gens du voyage : des propositions pour une population en mal de dispositifs d’accueil et ignorée des politiques d’habitat Gens du voyage : des propositions pour une population en mal de dispositifs d’accueil et ignorée des politiques d’habitat Entre arrêtés d’interdiction de stationnement et refus m…
doc_117155	right	left	web1	web	Philippe Vardon en garde à vue pour outrage à ... Estrosi C’était chaud entre les élus FN et Christian Estrosi depuis le début du conseil municipal ce vendredi matin. Chaud… jusqu’à l’explosion. Jusqu’à ce que le groupe frontiste, emmené par Marie-Christine Arnautu et Olivier Bettati, se décide à qu…
doc_109145	right	left	web1	web	Vous avez cherché Muriel Ressiguier - Fdesouche Deux ex attachées parlementaires de la députée montpelliéraine de la France Insoumise, Muriel Ressiguier l’attaquent aux prud’hommes pour licenciement abusif et harcèlement moral. La députée assume les...
doc_089427	right	left	web1	web	Õdevie Aqua Marina - Plasma Marin - Eau de Quinton Ou tout simplement STIMULER votre organisme! Qu’on l’appelle plasma marin, plasma de Quinton, eau de Quinton, sérum de Quinton ou Aqua Marina, l’eau de mer stérilisée selon le protocole Quinton étonne par sa simplicité d’action et sa grande efficaci…
doc_440697	right	left	web1	web	"Élection présidentielle : le vote FN dans les villes ""bourgeoises"" Télécharger pour lire hors ligne Dans les villes bourgeoises, la droite continue de dominer, mais s’effrite au profit de Macron qui réalise de spectaculaires percées en captant, outre la quasi-totalité du vote Hollande, d’anciens éle…"
doc_182801	right	left	web1	web	Patrimoine. 12 janvier 1628 : Naissance de Charles Perrault Le 12 janvier 1628 naissait à Paris, Charles Perrault. Parmi une abondante production littéraire où il aborda de nombreux genres, les Contes de ma mère l’Oye ou Histoires du temps passé, publiés en 1697, est son œuvre la plus connue. Peuplé…
doc_286887	right	left	web1	web	Quincieux (01). Les caravanes s’installent sur le stade, le club de rugby à la porte Des centaines de gens du voyage ont débarqué dimanche au stade de Chamalan à Quincieux, rendant inaccessible l’équipement sportif, loué par la municipalité au club de rugby voisin de Trévoux-Chatillon. Les dirigeant…
doc_121647	right	left	web1	web	Coup d'Etat en Suède ? Entente des partis jusqu'en 2022 Par Pascal Titeux. Jusqu’ici tout va bien, me direz-vous, le peuple va trancher. Mais voilà : les sondages se sont mis à dessiner une forte hausse du SD, l’amenant à des niveaux tels que ni l’alliance socialistes-verts, ni le centre-droit, ne p…
doc_026307	left	right	web1	web	Jean-Paul Gautier, auteur/autrice sur CONTRETEMPS Author Archives: Jean-Paul Gautier Prolongeant une série d'articles sur l'histoire des extrêmes droites en France, de l'Action française de Charles Maurras jusqu'au Rassemblement national de Marine Le Pen et Jordan Bardella, l'historien Jean-Paul Gau…
doc_434660	left	right	web1	web	Avignon (84) : Projection de « Rouge, la couleur qui annonce le journal » Projection de « Rouge, la couleur qui annonce le journal », jeudi 27 mars 2025 à 20h, au cinéma l'Utopia-manutention, 4 rue des escaliers Sainte Anne, 84000 Avignon.
doc_186218	right	left	web1	web	"Extrême gauche : nouveau ""dérapage"" antisémite sur Radio libertaire (Fédération Anarchiste) Radio libertaire est une oeuvre de la Fédération Anarchiste mais dont les émissions sont animées par nombre de personnes non membres de notre fédération. Les animateurs d’une émission hebdomadaire de Radio Li…"
doc_253388	right	left	web1	web	La Russie peut-elle sauver l’Occident ? Sergei Karaganov est Doyen de la School of International Economics and Foreign Affairs de la Russian Research University – Higher School of Economics. Cet article est basé sur un rapport sur la sécurité euro-atlantique préparé par le groupe russe du Valdai Clu…
doc_418238	left	right	web1	web	Into the Woods by Anna Krien Into the Woods: The Battle for Tasmania’s Forests Awards for Into the Woods - Winner of the Literary or Media Award Advancing Public Debate in the 2011 QLD Premier’s Literary Awards - Winner of the People’s Choice Award in the 2011 Victorian Premier’s Literary Awards - S…
doc_220286	right	left	web1	web	Anne Sinclair : Une héritière très réservée Dans la grande tradition bourgeoise, la discrétion est de mise pour l’épouse de Dominique Strauss-Kahn. Anne Sinclair, qui est la première militante de la cause de son mari, n’a jamais caché être la petite-fille d’un des principaux galeristes de la premièr…
doc_109565	right	left	web1	web	AWAN128 : Link Alternatif Login Dan Daftar AWAN 128 2025 AWAN128 adalah sebuah platform yang sudah sangat di kenal di kalangan anak muda dengan tingkat kemenangan di atas rata rata dan pelayanan tercepat hanya di AWAN 128. AWAN128 adalah sebuah platform yang sudah sangat di kenal di kalangan anak mu…
doc_286907	right	left	web1	web	Le LKP lance une nouvelle grève générale illimitée en Guadeloupe Le LKP, collectif d’organisations syndicales, politiques et culturelles à l’origine du mouvement social qui avait paralysé la Guadeloupe durant quarante-quatre jours début 2009, a lancé jeudi 10 mai un nouvel appel à la grève générale …
doc_020870	left	right	web1	web	Sapiens (édition 2022) | Éditions Albin Michel Sapiens (édition 2022) Avec une nouvelle préface inédite de l'auteur. « Un prodige. » Le Monde des Livres Il y a 100 000 ans, la Terre était habitée par au moins six espèces différentes d'hominidés. Une seule a survécu. Nous, les Homo Sapiens. Comment n…
doc_136017	right	left	web1	web	"Olivier Besancenot : ""Gauche et migrants, parlons clairement !"" Dans une tribune à “l’Obs”, Olivier Besancenot, « facteur de profession », membre du Nouveau parti anticapitaliste (NPA), appelle la gauche à assumer le débat sur les migrants, à défendre ses valeurs et son histoire. Des idées et des ac…"
doc_181477	right	left	web1	web	"Les affaires vues de banlieue: ""A quoi bon mener un combat pour le civisme ?"" Quel impact auront ces affaires sur les prochaines élections? En banlieue parisienne où l’abstention atteint souvent des sommets, l’affaire Cahuzac et celle des comptes off shore ne vont pas aider à redorer le blason des h…"
doc_438771	right	left	web1	web	Daniel Conversano, Super Danny Live ! - DanielConversano.com Dernier article du blog Rejoignez la communauté des Volontaires et retrouvez ici : Articles journaliers de réaction à l’actualité et divers sujets. Emissions en direct version dynamitée sur SUPER DANNY LIVE ! Boutique des éditions Petit Je…
doc_400590	left	right	web1	web	Union européenne : le droit des pauvres est un mot creux Ces avocats accusent l’UE d’avoir délibérément laissé des milliers de personnes périr, afin d’en dissuader d’autres de tenter l’aventure. Ils l’accusent également d’avoir envoyé aux mains des gangsters libyens des dizaines de milliers de migra…
